Episodio 4, Ronda 4: Acción=5, Reward=0.0
Episodio 4, Ronda 5: Acción=4, Reward=0.0
Episodio 4, Ronda 6: Acción=0, Reward=0.0
Episodio 4, Ronda 7: Acción=5, Reward=0.0
Episodio 4, Ronda 8: Acción=1, Reward=0.0
Episodio 4, Ronda 9: Acción=1, Reward=0.0
Episodio 4, Ronda 10: Acción=0, Reward=0.0
Episodio 4, Ronda 11: Acción=4, Reward=0.0
Episodio 4, Ronda 12: Acción=1, Reward=0.0
Episodio 4, Ronda 13: Acción=3, Reward=0.0
Episodio 4, Ronda 14: Acción=1, Reward=0.0
Episodio 4, Ronda 15: Acción=4, Reward=0.0
Episodio 4, Ronda 16: Acción=6, Reward=0.0
Episodio 4, Ronda 17: Acción=2, Reward=0.0
Episodio 4, Ronda 18: Acción=2, Reward=0.0
Episodio 4, Ronda 19: Acción=6, Reward=0.0
Episodio 4, Ronda 20: Acción=4, Reward=0.0
Episodio 4, Ronda 21: Acción=0, Reward=0.0
Episodio 4, Ronda 22: Acción=3, Reward=0.0
Episodio 4, Ronda 23: Acción=4, Reward=0.0
Episodio 4, Ronda 24: Acción=2, Reward=0.0
Episodio 4, Ronda 25: Acción=1, Reward=0.0
Episodio 4, Ronda 26: Acción=4, Reward=0.0
Episodio 4, Ronda 27: Acción=1, Reward=0.0
Episodio 4, Ronda 28: Acción=0, Reward=0.0
Episodio 4, Ronda 29: Acción=0, Reward=0.0
Episodio 4, Ronda 30: Acción=4, Reward=0.0
Episodio 4, Ronda 31: Acción=5, Reward=0.0
Episodio 4, Ronda 32: Acción=1, Reward=0.0
Episodio 4, Ronda 33: Acción=6, Reward=0.0
Episodio 4, Ronda 34: Acción=2, Reward=0.0
Episodio 4, Ronda 35: Acción=1, Reward=0.0
Episodio 4, Ronda 36: Acción=4, Reward=0.0
Episodio 4, Ronda 37: Acción=2, Reward=0.0
Episodio 4, Ronda 38: Acción=1, Reward=0.0
Episodio 4, Ronda 39: Acción=0, Reward=0.0
Episodio 4, Ronda 40: Acción=2, Reward=-36.0
Episodio 4: Loss=1.0652, Epsilon=0.980
Episodio 5, Ronda 1: Acción=3, Reward=0.0
Episodio 5, Ronda 2: Acción=2, Reward=0.0
Episodio 5, Ronda 3: Acción=6, Reward=0.0
Episodio 5, Ronda 4: Acción=6, Reward=0.0
Episodio 5, Ronda 5: Acción=4, Reward=0.0
Episodio 5, Ronda 6: Acción=5, Reward=0.0
Episodio 5, Ronda 7: Acción=4, Reward=0.0
Episodio 5, Ronda 8: Acción=0, Reward=0.0
Episodio 5, Ronda 9: Acción=4, Reward=0.0
Episodio 5, Ronda 10: Acción=5, Reward=0.0
Episodio 5, Ronda 11: Acción=4, Reward=0.0
Episodio 5, Ronda 12: Acción=5, Reward=0.0
Episodio 5, Ronda 13: Acción=1, Reward=0.0
Episodio 5, Ronda 14: Acción=2, Reward=0.0
Episodio 5, Ronda 15: Acción=5, Reward=0.0
Episodio 5, Ronda 16: Acción=0, Reward=0.0
Episodio 5, Ronda 17: Acción=2, Reward=0.0
Episodio 5, Ronda 18: Acción=3, Reward=0.0
Episodio 5, Ronda 19: Acción=0, Reward=0.0
Episodio 5, Ronda 20: Acción=0, Reward=0.0
Episodio 5, Ronda 21: Acción=2, Reward=0.0
Episodio 5, Ronda 22: Acción=6, Reward=0.0
Episodio 5, Ronda 23: Acción=0, Reward=0.0
Episodio 5, Ronda 24: Acción=1, Reward=0.0
Episodio 5, Ronda 25: Acción=3, Reward=0.0
Episodio 5, Ronda 26: Acción=5, Reward=0.0
Episodio 5, Ronda 27: Acción=4, Reward=0.0
Episodio 5, Ronda 28: Acción=4, Reward=0.0
Episodio 5, Ronda 29: Acción=4, Reward=0.0
Episodio 5, Ronda 30: Acción=3, Reward=0.0
Episodio 5, Ronda 31: Acción=3, Reward=0.0
Episodio 5, Ronda 32: Acción=3, Reward=0.0
Episodio 5, Ronda 33: Acción=4, Reward=0.0
Episodio 5, Ronda 34: Acción=4, Reward=0.0
Episodio 5, Ronda 35: Acción=6, Reward=0.0
Episodio 5, Ronda 36: Acción=0, Reward=0.0
Episodio 5, Ronda 37: Acción=6, Reward=0.0
Episodio 5, Ronda 38: Acción=4, Reward=0.0
Episodio 5, Ronda 39: Acción=4, Reward=0.0
Episodio 5, Ronda 40: Acción=6, Reward=0.0
Episodio 5, Ronda 41: Acción=4, Reward=0.0
Episodio 5, Ronda 42: Acción=6, Reward=0.0
Episodio 5, Ronda 43: Acción=4, Reward=0.0
Episodio 5, Ronda 44: Acción=6, Reward=0.0
Episodio 5, Ronda 45: Acción=0, Reward=0.0
Episodio 5, Ronda 46: Acción=0, Reward=0.0
Episodio 5, Ronda 47: Acción=3, Reward=0.0
Episodio 5, Ronda 48: Acción=0, Reward=0.0
Episodio 5, Ronda 49: Acción=1, Reward=0.0
Episodio 5, Ronda 50: Acción=0, Reward=0.0
Episodio 5, Ronda 51: Acción=2, Reward=0.0
Episodio 5, Ronda 52: Acción=0, Reward=0.0
Episodio 5, Ronda 53: Acción=1, Reward=0.0
Episodio 5, Ronda 54: Acción=6, Reward=0.0
Episodio 5, Ronda 55: Acción=4, Reward=0.0
Episodio 5, Ronda 56: Acción=2, Reward=0.0
Episodio 5, Ronda 57: Acción=1, Reward=0.0
Episodio 5, Ronda 58: Acción=4, Reward=-361.0
Episodio 5: Loss=22.7640, Epsilon=0.975
Episodio 6, Ronda 1: Acción=5, Reward=0.0
Episodio 6, Ronda 2: Acción=3, Reward=0.0
Episodio 6, Ronda 3: Acción=0, Reward=0.0
Episodio 6, Ronda 4: Acción=6, Reward=0.0
Episodio 6, Ronda 5: Acción=1, Reward=0.0
Episodio 6, Ronda 6: Acción=5, Reward=0.0
Episodio 6, Ronda 7: Acción=5, Reward=0.0
Episodio 6, Ronda 8: Acción=1, Reward=0.0
Episodio 6, Ronda 9: Acción=4, Reward=0.0
Episodio 6, Ronda 10: Acción=5, Reward=0.0
Episodio 6, Ronda 11: Acción=4, Reward=0.0
Episodio 6, Ronda 12: Acción=0, Reward=0.0
Episodio 6, Ronda 13: Acción=2, Reward=0.0
Episodio 6, Ronda 14: Acción=2, Reward=0.0
Episodio 6, Ronda 15: Acción=3, Reward=0.0
Episodio 6, Ronda 16: Acción=1, Reward=0.0
Episodio 6, Ronda 17: Acción=0, Reward=0.0
Episodio 6, Ronda 18: Acción=6, Reward=0.0
Episodio 6, Ronda 19: Acción=5, Reward=0.0
Episodio 6, Ronda 20: Acción=3, Reward=0.0
Episodio 6, Ronda 21: Acción=0, Reward=0.0
Episodio 6, Ronda 22: Acción=1, Reward=0.0
Episodio 6, Ronda 23: Acción=6, Reward=0.0
Episodio 6, Ronda 24: Acción=0, Reward=0.0
Episodio 6, Ronda 25: Acción=2, Reward=0.0
Episodio 6, Ronda 26: Acción=1, Reward=0.0
Episodio 6, Ronda 27: Acción=1, Reward=0.0
Episodio 6, Ronda 28: Acción=3, Reward=0.0
Episodio 6, Ronda 29: Acción=1, Reward=0.0
Episodio 6, Ronda 30: Acción=5, Reward=0.0
Episodio 6, Ronda 31: Acción=4, Reward=0.0
Episodio 6, Ronda 32: Acción=2, Reward=0.0
Episodio 6, Ronda 33: Acción=4, Reward=0.0
Episodio 6, Ronda 34: Acción=5, Reward=0.0
Episodio 6, Ronda 35: Acción=0, Reward=0.0
Episodio 6, Ronda 36: Acción=1, Reward=0.0
Episodio 6, Ronda 37: Acción=0, Reward=0.0
Episodio 6, Ronda 38: Acción=2, Reward=16.0
